Rank,Title,Studio,Worldwide,Domestic,%,Overseas,%,Year^
1,Avengers: Endgame,BV,"$2,796.3",$858.4,30.7%,"$1,937.9",69.3%,2019
2,Avatar,Fox,"$2,789.7",$760.5,27.3%,"$2,029.2",72.7%,2009^
3,Titanic,Par.,"$2,187.5",$659.4,30.1%,"$1,528.1",69.9%,1997^
4,Star Wars: The Force Awakens,BV,"$2,068.2",$936.7,45.3%,"$1,131.6",54.7%,2015
5,Avengers: Infinity War,BV,"$2,048.4",$678.8,33.1%,"$1,369.5",66.9%,2018
6,Jurassic World,Uni.,"$1,671.7",$652.3,39.0%,"$1,019.4",61.0%,2015
7,The Lion King (2019),BV,"$1,638.7",$540.0,33.0%,"$1,098.7",67.0%,2019
8,Marvel's The Avengers,BV,"$1,518.8",$623.4,41.0%,$895.5,59.0%,2012
9,Furious 7,Uni.,"$1,516.0",$353.0,23.3%,"$1,163.0",76.7%,2015
10,Avengers: Age of Ultron,BV,"$1,405.4",$459.0,32.7%,$946.4,67.3%,2015
11,Black Panther,BV,"$1,346.9",$700.1,52.0%,$646.9,48.0%,2018
12,Harry Potter and the Deathly Hallows Part 2,WB,"$1,341.7",$381.2,28.4%,$960.5,71.6%,2011^
13,Star Wars: The Last Jedi,BV,"$1,332.5",$620.2,46.5%,$712.4,53.5%,2017
14,Jurassic World: Fallen Kingdom,Uni.,"$1,308.5",$417.7,31.9%,$890.7,68.1%,2018
15,Frozen,BV,"$1,276.5",$400.7,31.4%,$875.7,68.6%,2013
16,Beauty and the Beast (2017),BV,"$1,263.5",$504.0,39.9%,$759.5,60.1%,2017
17,Incredibles 2,BV,"$1,242.8",$608.6,49.0%,$634.2,51.0%,2018
18,The Fate of the Furious,Uni.,"$1,236.0",$226.0,18.3%,"$1,010.0",81.7%,2017
19,Iron Man 3,BV,"$1,214.8",$409.0,33.7%,$805.8,66.3%,2013
20,Minions,Uni.,"$1,159.4",$336.0,29.0%,$823.4,71.0%,2015
21,Captain America: Civil War,BV,"$1,153.3",$408.1,35.4%,$745.2,64.6%,2016
22,Aquaman,WB,"$1,148.1",$335.1,29.2%,$813.0,70.8%,2018
23,Spider-Man: Far from Home,Sony,"$1,130.5",$389.9,34.5%,$740.7,65.5%,2019
24,Captain Marvel,BV,"$1,128.3",$426.8,37.8%,$701.4,62.2%,2019
25,Transformers: Dark of the Moon,P/DW,"$1,123.8",$352.4,31.4%,$771.4,68.6%,2011
26,The Lord of the Rings: The Return of the King,NL,"$1,119.9",$377.8,33.7%,$742.1,66.3%,2003^
27,Skyfall,Sony,"$1,108.6",$304.4,27.5%,$804.2,72.5%,2012
28,Transformers: Age of Extinction,Par.,"$1,104.1",$245.4,22.2%,$858.6,77.8%,2014
29,The Dark Knight Rises,WB,"$1,084.9",$448.1,41.3%,$636.8,58.7%,2012
30,Toy Story 3,BV,"$1,067.0",$415.0,38.9%,$652.0,61.1%,2010
31,Pirates of the Caribbean: Dead Man's Chest,BV,"$1,066.2",$423.3,39.7%,$642.9,60.3%,2006
32,Toy Story 4,BV,"$1,062.2",$433.0,40.8%,$629.1,59.2%,2019
33,Rogue One: A Star Wars Story,BV,"$1,056.1",$532.2,50.4%,$523.9,49.6%,2016
34,Aladdin (2019),BV,"$1,048.9",$355.4,33.9%,$693.5,66.1%,2019
35,Pirates of the Caribbean: On Stranger Tides,BV,"$1,045.7",$241.1,23.1%,$804.6,76.9%,2011
36,Despicable Me 3,Uni.,"$1,034.8",$264.6,25.6%,$770.2,74.4%,2017
37,Jurassic Park,Uni.,"$1,029.5",$402.8,39.1%,$626.7,60.9%,1993^
38,Finding Dory,BV,"$1,028.6",$486.3,47.3%,$542.3,52.7%,2016
39,Star Wars: Episode I - The Phantom Menace,Fox,"$1,027.0",$474.5,46.2%,$552.5,53.8%,1999^
40,Alice in Wonderland (2010),BV,"$1,025.5",$334.2,32.6%,$691.3,67.4%,2010
41,Zootopia,BV,"$1,023.8",$341.3,33.3%,$682.5,66.7%,2016
42,The Hobbit: An Unexpected Journey,WB (NL),"$1,021.1",$303.0,29.7%,$718.1,70.3%,2012
43,The Dark Knight,WB,"$1,004.9",$535.2,53.3%,$469.7,46.7%,2008^
44,Harry Potter and the Sorcerer's Stone,WB,$975.1,$317.9,32.6%,$657.2,67.4%,2001^
45,Despicable Me 2,Uni.,$970.8,$368.1,37.9%,$602.7,62.1%,2013
46,The Lion King,BV,$968.5,$422.8,43.7%,$545.7,56.3%,1994^
